Feature_name,Feature_importance
Machine Size,0.002043307839054711
TEX,0.0006027569571234275
Type C - 16.0 to 19.0 Metric Tons,0.0003931530313206389
Type F - 2201.0 to 2701.0 Lb Operating Capacity,1.0857810830778362e-05
Type C - 24.0 to 28.0 Metric Tons,0.0004965342560203786
Type C - 3.0 to 4.0 Metric Tons,2.3673891490605887e-05
Type E - 120.0 to 135.0 Horsepower,0.00047641606136578443
Type E - 250.0 to 275.0 Horsepower,0.00024595183687786833
Type C - 50.0 to 66.0 Metric Tons,0.00037124959816118777
Type D - 105.0 to 130.0 Horsepower,0.0002970317544011428
Type E - 1000.0 + Horsepower,1.5927551596416636e-05
Type C - 6.0 to 8.0 Metric Tons,5.351535591741628e-05
Type B - 16.0 + Ft Standard Digging Depth,5.1979978743187725e-05
Base + 6 Function,1.78264148946302e-05
Base + 2 Function,4.820055853916107e-05
EROPS w AC,0.002921702356460778
Type E - 135.0 to 150.0 Horsepower,0.0002102211569698199
